KalmanPitch,KalmanRoll
-1.01,65.78
-1.01,66.41
-1.01,67.04
-1.01,67.65
-1.01,68.26
-1.01,68.86
-1.02,69.45
-1.03,70.02
-1.03,70.59
-1.04,71.16
-1.05,71.72
-1.05,72.27
-1.06,72.82
-1.07,73.36
-1.07,73.91
-1.08,74.45
-1.08,75
-1.08,75.54
-1.13,76.05
-1.14,76.57
-1.12,75.21
-1.1,73.86
-1.1,74.41
-1.11,74.96
-1.1,75.51
-1.1,76.06
-1.1,76.61
-1.08,77.16
-1.07,77.71
-1.07,78.25
-1.07,78.79
-1.07,79.32
-1.07,79.85
-1.07,80.38
-1.07,80.91
-1.07,81.43
-1.07,81.95
-1.08,82.47
-1.08,82.99
-1.08,83.51
-1.08,84.03
-1.08,84.54
-1.08,85.05
-1.09,85.55
-1.09,86.06
-1.09,86.55
-1.09,87.05
-1.09,87.54
-1.09,88.02
-1.09,88.51
-1.09,89
-1.09,89.48
-1.1,89.96
-1.1,90.43
-1.1,90.91
-1.1,91.38
-1.1,91.85
-1.1,92.32
-1.1,92.79
-1.11,93.25
-1.11,93.71
-1.11,94.17
-1.11,94.62
-1.12,95.07
-1.12,95.52
-1.12,95.97
-1.12,96.41
-1.12,96.85
-1.13,97.29
-1.13,97.73
-1.13,98.17
-1.13,98.61
-1.13,99.04
-1.13,99.47
-1.14,99.9
-1.14,100.32
-1.14,100.74
-1.14,101.15
-1.15,101.57
-1.15,101.98
-1.15,102.39
-1.15,102.8
-1.16,103.2
-1.16,103.61
-1.16,104.02
-1.16,104.42
-1.16,104.82
-1.16,105.23
-1.16,105.63
-1.17,106.03
-1.17,106.42
-1.17,106.81
-1.17,107.2
-1.17,107.58
-1.15,107.97
-1.12,108.34
-1.09,108.72
-1.06,109.1
-1.04,109.48
-1.01,109.86
-0.98,110.24
-0.96,110.62
-0.95,110.99
-0.94,111.37
-0.93,111.74
-0.93,112.11
-0.92,112.48
-0.92,112.84
-0.91,113.19
-0.91,113.55
-0.91,113.9
-0.91,114.25
-0.92,114.59
-0.93,114.94
-0.93,115.28
-0.94,115.62
-0.95,115.96
-0.95,116.29
-0.96,116.62
-0.97,116.94
-0.98,117.26
-1,117.58
-1.01,117.9
-1.02,118.23
-1.04,118.55
-1.06,118.87
-1.08,119.2
-1.1,119.52
-1.12,119.84
-1.13,120.16
-1.15,120.47
-1.16,120.79
-1.18,121.1
-1.19,121.42
-1.2,121.72
-1.21,122.03
-1.22,122.34
-1.22,122.64
-1.22,122.94
-1.22,123.25
-1.22,123.55
-1.23,123.85
-1.23,124.15
-1.23,124.44
-1.24,124.74
-1.24,125.04
-1.24,125.33
-1.24,125.63
-1.24,125.92
-1.24,126.22
-1.24,126.51
-1.24,126.8
-1.23,127.09
-1.23,127.38
-1.23,127.67
-1.23,127.96
-1.23,128.25
-1.23,128.54
-1.22,128.83
-1.22,129.11
-1.22,129.4
-1.22,129.68
-1.22,129.96
-1.21,130.24
-1.22,130.52
-1.22,130.8
-1.23,131.08
-1.23,131.35
-1.23,131.63
-1.23,131.9
-1.22,132.18
-1.22,132.45
-1.21,132.72
-1.21,133
-1.2,133.27
-1.19,133.54
-1.19,133.81
-1.19,134.07
-1.19,134.33
-1.19,134.59
-1.2,134.83
-1.2,135.08
-1.21,135.31
-1.21,135.55
-1.22,135.78
-1.22,136
-1.23,136.23
-1.24,136.45
-1.24,136.67
-1.25,136.9
-1.25,137.12
-1.26,137.35
-1.26,137.57
-1.27,137.79
-1.27,138.01
-1.28,138.22
-1.29,138.43
-1.29,138.64
-1.3,138.85
-1.3,139.06
-1.31,139.26
-1.31,139.47
-1.31,139.67
-1.32,139.87
-1.32,140.08
-1.32,140.28
-1.32,140.49
-1.33,140.69
-1.33,140.9
-1.33,141.11
-1.33,141.31
-1.34,141.52
-1.34,141.73
-1.34,141.93
-1.34,142.13
-1.34,142.33
-1.34,142.54
-1.34,142.73
-1.34,142.93
-1.34,143.13
-1.34,143.32
-1.35,143.51
-1.35,143.7
-1.35,143.89
-1.35,144.08
-1.36,144.27
-1.36,144.46
-1.36,144.64
-1.36,144.83
-1.36,145.03
-1.36,145.22
-1.36,145.41
-1.36,145.59
-1.36,145.78
-1.36,145.96
-1.36,146.15
-1.36,146.33
-1.36,146.51
-1.36,146.68
-1.36,146.86
-1.36,147.03
-1.36,147.21
-1.37,147.38
-1.37,147.55
-1.37,147.72
-1.37,147.89
-1.37,148.06
-1.37,148.23
-1.37,148.4
-1.38,148.56
-1.38,148.73
-1.38,148.89
-1.38,149.05
-1.38,149.21
-1.38,149.37
-1.39,149.53
-1.39,149.69
-1.39,149.85
-1.39,150.01
-1.39,150.17
-1.39,150.33
-1.39,150.48
-1.4,150.64
-1.4,150.79
-1.4,150.94
-1.4,151.1
-1.4,151.25
-1.4,151.4
-1.4,151.55
-1.4,151.71
-1.4,151.86
