KalmanPitch,KalmanRoll,,,
-5.26,95.15,,,
-5.39,95.19,,,
-5.49,95.24,,,
-5.59,95.26,,,
-5.68,95.3,,,
-5.76,95.33,,,
-5.83,95.36,,,
-5.9,95.39,,,
-5.97,95.42,,,
-6.05,95.44,,,
-6.13,95.45,,,
-6.23,95.49,,,
-6.32,95.5,,,
-6.41,95.52,,,
-6.5,95.52,,,
-6.6,95.54,,,
-6.7,95.58,,,
-6.8,95.59,,,
-6.89,95.62,,,
-6.97,95.65,,,
-7.05,95.67,,,
-7.13,95.7,,,
-7.18,95.72,,,
-7.23,95.75,,,
-7.27,95.77,,,
-7.3,95.79,,,
-7.32,95.8,,,
-7.34,95.81,,,
-7.35,95.83,,,
-7.36,95.84,,,
-7.38,95.85,,,
-7.39,95.86,,,
-7.4,95.87,,,
-7.41,95.89,,,
-7.42,95.9,,,
-7.43,95.93,,,
-7.43,95.95,,,
-7.43,95.96,,,
-7.43,95.99,,,
-7.41,96.02,,,
-7.39,96.04,,,
-7.36,96.07,,,
-7.32,96.09,,,
-7.29,96.13,,,
-7.26,96.16,,,
-7.23,96.19,,,
-7.2,96.22,,,
-7.18,96.23,,,
-7.17,96.25,,,
-7.16,96.28,,,
-7.15,96.31,,,
-7.14,96.33,,,
-7.12,96.36,,,
-7.1,96.38,,,
-7.08,96.41,,,
-7.06,96.43,,,
-7.03,96.46,,,
-7,96.48,,,
-6.96,96.5,,,
-6.94,96.53,,,
-6.91,96.54,,,
-6.88,96.55,,,
-6.84,96.56,,,
-6.81,96.57,,,
-6.78,96.59,,,
-6.74,96.6,,,
-6.69,96.61,,,
-6.64,96.62,,,
-6.59,96.64,,,
-6.52,96.66,,,
-6.45,96.7,,,
-6.38,96.71,,,
-6.3,96.72,,,
-6.22,96.75,,,
-6.13,96.76,,,
-6.04,96.76,,,
-5.95,96.78,,,
-5.86,96.8,,,
-5.77,96.81,,,
-5.68,96.81,,,
-5.61,96.81,,,
-5.54,96.81,,,
-5.47,96.8,,,
-5.4,96.78,,,
-5.32,96.77,,,
-5.22,96.75,,,
-5.11,96.74,,,
-5,96.71,,,
-4.89,96.73,,,
-4.76,96.71,,,
-4.62,96.69,,,
-4.47,96.66,,,
-4.31,96.67,,,
-4.16,96.64,,,
-4.02,96.62,,,
-3.88,96.61,,,
-3.74,96.6,,,
-3.61,96.58,,,
-3.49,96.54,,,
-3.37,96.53,,,
-3.26,96.52,,,
-3.14,96.5,,,
-3,96.46,,,
-2.88,96.43,,,
-2.75,96.4,,,
-2.61,96.39,,,
-2.48,96.35,,,
-2.36,96.32,,,
-2.23,96.29,,,
-2.1,96.29,,,
-1.99,96.28,,,
-1.86,96.24,,,
-1.74,96.22,,,
-1.61,96.19,,,
-1.49,96.16,,,
-1.36,96.12,,,
-1.24,96.1,,,
-1.12,96.07,,,
-1.01,96.06,,,
-0.91,96.04,,,
-0.8,96.02,,,
-0.7,96,,,
-0.59,95.95,,,
-0.47,95.92,,,
-0.36,95.88,,,
-0.23,95.86,,,
-0.11,95.85,,,
0.02,95.82,,,
0.14,95.79,,,
0.26,95.76,,,
0.39,95.73,,,
0.51,95.7,,,
0.63,95.68,,,
0.74,95.65,,,
0.85,95.62,,,
0.95,95.58,,,
1.03,95.54,,,
1.1,95.51,,,
1.15,95.48,,,
1.19,95.45,,,
1.23,95.43,,,
1.28,95.42,,,
1.34,95.41,,,
1.39,95.4,,,
1.46,95.4,,,
1.53,95.4,,,
1.62,95.4,,,
1.71,95.4,,,
1.81,95.39,,,
1.91,95.39,,,
2.02,95.37,,,
2.11,95.36,,,
2.19,95.35,,,
2.26,95.32,,,
2.31,95.31,,,
2.35,95.31,,,
2.39,95.29,,,
2.43,95.27,,,
2.45,95.25,,,
2.48,95.24,,,
2.52,95.21,,,
2.56,95.2,,,
2.58,95.2,,,
2.59,95.2,,,
2.58,95.18,,,
2.57,95.15,,,
2.54,95.12,,,
2.49,95.1,,,
2.46,95.07,,,
2.42,95.06,,,
2.39,95.04,,,
2.35,95.05,,,
2.32,95.02,,,
2.3,95.01,,,
2.29,94.98,,,
2.27,94.98,,,
2.27,94.95,,,
2.26,94.95,,,
2.27,94.93,,,
2.27,94.91,,,
2.25,94.9,,,
2.23,94.87,,,
2.2,94.84,,,
2.14,94.81,,,
2.08,94.82,,,
2,94.81,,,
1.93,94.79,,,
1.85,94.79,,,
1.78,94.79,,,
1.72,94.8,,,
1.66,94.78,,,
1.6,94.79,,,
1.55,94.8,,,
1.51,94.83,,,
1.47,94.85,,,
1.45,94.86,,,
1.41,94.89,,,
1.38,94.97,,,
1.35,95.04,,,
1.29,95.16,,,
1.22,95.3,,,
1.14,95.44,,,
1.05,95.57,,,
0.93,95.71,,,
0.81,95.84,,,
0.69,95.97,,,
0.56,96.08,,,
0.45,96.18,,,
0.33,96.25,,,
0.21,96.38,,,
0.1,96.47,,,
-0.01,96.49,,,
-0.12,96.52,,,
-0.21,96.63,,,
-0.29,96.72,,,
-0.36,96.73,,,
-0.47,96.66,,,
-0.56,96.69,,,
-0.66,96.77,,,
-0.77,96.71,,,
-0.9,96.56,,,
-1.03,96.45,,,
-1.18,96.33,,,
-1.32,96.11,,,
-1.48,95.9,,,
-1.65,95.72,,,
-1.82,95.58,,,
-1.98,95.41,,,
-2.13,95.24,,,
