Pitch,Roll,,,,
-3.55,-10.75,120.23,,,
-3.56,-9.83,120.34,,,
-3.56,-8.9,120.43,,,
-3.56,-7.97,120.5,,,
-3.56,-7.03,120.59,,,
-3.56,-6.09,120.66,,,
-3.56,-5.15,120.73,,,
-3.56,-4.2,120.78,,,
-3.57,-3.24,120.81,,,
-3.57,-2.28,120.85,,,
-3.57,-1.33,120.89,,,
-3.58,-0.38,120.92,,,
-3.58,0.58,120.95,,,
-3.57,1.53,120.99,,,
-3.57,2.48,121.03,,,
-3.58,1.51,121.06,,,
-3.57,2.46,121.11,,,
-3.55,3.4,121.17,,,
-3.55,4.33,121.25,,,
-3.54,5.24,121.33,,,
-3.55,6.14,121.38,,,
-3.54,7.02,121.41,,,
-3.52,7.91,121.45,,,
-3.51,8.79,121.48,,,
-3.51,9.66,121.49,,,
-3.5,10.53,121.49,,,
-3.5,11.41,121.48,,,
-3.48,12.28,121.47,,,
-3.47,13.15,121.43,,,
-3.49,14.03,121.4,,,
-3.5,14.91,121.37,,,
-3.51,15.79,121.34,,,
-3.49,16.66,121.34,,,
-3.51,17.53,121.34,,,
-3.52,18.4,121.33,,,
-3.52,17.35,121.33,,,
-3.52,18.2,121.36,,,
