KalmanPitch,KalmanRoll,
-5.77,-40.96,
-5.76,-40.98,
-5.76,-41.01,
-5.76,-41.03,
-5.76,-41.04,
-5.76,-41.05,
-5.76,-41.06,
-5.76,-41.06,
-5.76,-41.06,
-5.76,-41.06,
-5.76,-41.07,
-5.76,-41.07,
-5.76,-41.08,
-5.76,-41.09,
-5.77,-41.1,
-5.78,-41.1,
-5.83,-41.09,
-5.87,-41.09,
-5.91,-41.1,
-5.93,-41.11,
-5.96,-41.13,
-5.98,-41.16,
-6,-41.19,
-6.01,-41.23,
-6.02,-41.27,
-6.02,-41.3,
-6.02,-41.33,
-6.01,-41.35,
-6.02,-41.37,
-6.02,-41.39,
-6.02,-41.4,
-6.02,-41.41,
-6.02,-41.43,
-6.02,-41.45,
-6.02,-41.47,
-6.02,-41.49,
-6.02,-41.52,
-6.01,-41.54,
-6.01,-41.57,
-6.01,-41.59,
-6.01,-41.61,
-6.01,-41.62,
-6,-41.62,
-5.99,-41.62,
-5.99,-41.62,
-5.99,-41.61,
-5.98,-41.6,
-5.98,-41.59,
-5.97,-41.58,
-5.96,-41.57,
-5.95,-41.57,
-5.95,-41.56,
-5.96,-41.56,
-5.97,-41.56,
-5.98,-41.57,
-5.99,-41.57,
-6,-41.58,
-6,-41.59,
-6,-41.6,
-6,-41.6,
-6,-41.6,
-6.01,-41.6,
-6.01,-41.61,
-6.01,-41.6,
-6.02,-41.61,
-6.05,-41.62,
-6.07,-41.63,
-6.11,-41.64,
-6.14,-41.66,
-6.18,-41.67,
-6.23,-41.68,
-6.29,-41.69,
-6.36,-41.7,
-6.43,-41.72,
-6.51,-41.73,
-6.59,-41.75,
-6.67,-41.77,
-6.76,-41.79,
-6.85,-41.8,
-6.93,-41.83,
-7.01,-41.88,
-6.97,-41.9,
-6.94,-41.92,
-6.99,-41.96,
-7.07,-42.01,
-7.13,-42.06,
-7.19,-42.12,
-7.25,-42.18,
-7.31,-42.25,
-7.39,-42.31,
-7.48,-42.38,
-7.56,-42.45,
-7.64,-42.52,
-7.73,-42.59,
-7.81,-42.66,
-7.88,-42.73,
-7.97,-42.79,
-8.05,-42.84,
-8.12,-42.89,
-8.21,-42.93,
-8.29,-42.96,
-8.37,-42.98,
-8.46,-42.99,
-8.55,-42.99,
-8.66,-42.99,
-8.76,-42.96,
-8.87,-42.93,
-8.99,-42.91,
-9.12,-42.89,
-9.26,-42.88,
-9.4,-42.86,
-9.56,-42.86,
-9.72,-42.86,
-9.89,-42.88,
-10.05,-42.88,
-10.21,-42.88,
-10.38,-42.88,
-10.54,-42.87,
-10.7,-42.86,
-10.87,-42.85,
-11.04,-42.83,
-11.22,-42.82,
-11.4,-42.81,
-11.58,-42.81,
-11.76,-42.81,
-11.95,-42.82,
-12.13,-42.84,
-12.31,-42.85,
-12.49,-42.86,
-12.67,-42.87,
-12.86,-42.88,
-13.05,-42.89,
-13.24,-42.89,
-13.43,-42.9,
-13.63,-42.91,
-13.84,-42.92,
-14.05,-42.93,
-14.26,-42.94,
-14.48,-42.95,
-14.7,-42.97,
-14.92,-42.99,
-15.14,-43.02,
-15.35,-43.04,
-15.56,-43.08,
-15.78,-43.11,
-15.99,-43.15,
-16.2,-43.18,
-16.41,-43.22,
-16.61,-43.26,
-16.82,-43.29,
-17.02,-43.33,
-17.22,-43.35,
-17.42,-43.38,
-17.62,-43.4,
-17.82,-43.42,
-18.02,-43.43,
-18.22,-43.44,
-18.42,-43.45,
-18.62,-43.46,
-18.82,-43.46,
-19.02,-43.47,
-19.23,-43.48,
-19.43,-43.5,
-19.64,-43.52,
-19.84,-43.55,
-20.05,-43.59,
-20.25,-43.64,
-20.45,-43.69,
-20.65,-43.74,
-20.85,-43.8,
-21.04,-43.85,
-21.23,-43.91,
-21.43,-43.96,
-21.62,-44.01,
-21.81,-44.07,
-22.01,-44.12,
-22.21,-44.17,
-22.41,-44.22,
-22.62,-44.27,
-22.83,-44.32,
-23.05,-44.37,
-23.26,-44.43,
-23.48,-44.48,
-23.69,-44.54,
-23.91,-44.61,
-24.13,-44.67,
-24.33,-44.75,
-24.52,-44.82,
-24.71,-44.9,
-24.91,-44.97,
-25.11,-45.05,
-25.32,-45.11,
-25.51,-45.07,
-25.69,-45.06,
-25.89,-45.08,
-26.1,-45.11,
-26.31,-45.13,
-26.53,-45.14,
-26.75,-45.16,
-26.97,-45.17,
-27.19,-45.18,
-27.42,-45.17,
-27.64,-45.17,
-27.86,-45.18,
-28.08,-45.2,
-28.3,-45.24,
-28.52,-45.3,
-28.73,-45.36,
-28.94,-45.42,
-29.15,-45.49,
-29.35,-45.56,
-29.55,-45.63,
-29.75,-45.7,
-29.95,-45.76,
-30.16,-45.81,
-30.36,-45.85,
-30.56,-45.89,
-30.77,-45.92,
-30.97,-45.95,
-31.17,-45.97,
-31.36,-45.99,
-31.55,-46,
-31.74,-46.02,
-31.93,-46.05,
-32.1,-46.09,
-32.27,-46.13,
-32.42,-46.2,
-32.57,-46.27,
-32.7,-46.34,
-32.81,-46.42,
-32.91,-46.49,
-33.01,-46.55,
-33.1,-46.6,
-33.18,-46.66,
-33.26,-46.68,
-33.37,-46.68,
-33.48,-46.68,
-33.56,-46.67,
-33.65,-46.66,
-33.74,-46.65,
-33.81,-46.65,
-33.88,-46.63,
-33.95,-46.6,
-34.02,-46.57,
-34.09,-46.52,
-34.16,-46.48,
-34.24,-46.44,
-34.32,-46.4,
-34.4,-46.39,
-34.47,-46.37,
-34.54,-46.37,
-34.6,-46.37,
-34.67,-46.38,
-34.73,-46.39,
-34.79,-46.41,
-34.83,-46.42,
-34.87,-46.45,
-34.91,-46.46,
-34.95,-46.47,
-34.99,-46.48,
-35.03,-46.48,
-35.07,-46.49,
-35.11,-46.48,
-35.15,-46.49,
-35.17,-46.5,
-35.19,-46.51,
-35.22,-46.52,
-35.23,-46.53,
-35.24,-46.54,
-35.25,-46.56,
-35.26,-46.58,
-35.28,-46.6,
-35.29,-46.62,
-35.31,-46.64,
-35.31,-46.67,
-35.33,-46.7,
-35.34,-46.73,
-35.35,-46.77,
-35.36,-46.8,
-35.38,-46.83,
-35.39,-46.85,
-35.4,-46.87,
-35.42,-46.89,
-35.43,-46.91,
-35.44,-46.94,
-35.45,-46.96,
-35.45,-46.99,
-35.46,-47.02,
-35.46,-47.06,
-35.46,-47.09,
-35.46,-47.13,
-35.45,-47.16,
-35.46,-47.18,
-35.47,-47.2,
-35.48,-47.22,
-35.49,-47.24,
-35.5,-47.26,
-35.51,-47.29,
-35.51,-47.31,
-35.51,-47.34,
-35.52,-47.36,
-35.52,-47.38,
-35.52,-47.4,
-35.53,-47.42,
-35.53,-47.43,
-35.54,-47.45,
-35.55,-47.46,
-35.56,-47.48,
-35.57,-47.49,
-35.59,-47.51,
-35.61,-47.53,
-35.63,-47.56,
-35.65,-47.58,
-35.67,-47.61,
-35.69,-47.64,
-35.71,-47.67,
-35.72,-47.7,
-35.74,-47.73,
-35.75,-47.76,
-35.77,-47.79,
-35.78,-47.82,
-35.79,-47.84,
-35.8,-47.87,
-35.81,-47.89,
-35.83,-47.92,
-35.84,-47.94,
-35.85,-47.97,
-35.87,-47.99,
-35.89,-48.01,
-35.91,-48.03,
-35.94,-48.05,
-35.96,-48.07,
-35.99,-48.09,
-36.03,-48.11,
-36.06,-48.12,
-36.1,-48.14,
-36.13,-48.16,
-36.17,-48.18,
-36.21,-48.2,
-36.24,-48.23,
-36.28,-48.25,
-36.31,-48.28,
-36.33,-48.31,
-36.36,-48.35,
